areaCode,areaName,areaType,date,capacityPillarOneTwo,cumAdmissions,cumCasesBySpecimenDate,cumDailyNsoDeathsByDeathDate,cumDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,15/07/2021,644403,482821,5390111,154921,128827
K02000001,United Kingdom,overview,14/07/2021,644403,482049,5329347,154869,128775
K02000001,United Kingdom,overview,13/07/2021,605403,481295,5275516,154824,128733
K02000001,United Kingdom,overview,12/07/2021,574403,480545,5228780,154775,128684
K02000001,United Kingdom,overview,11/07/2021,620403,479813,5185128,154736,128645
K02000001,United Kingdom,overview,10/07/2021,620403,479221,5155101,154701,128612
K02000001,United Kingdom,overview,09/07/2021,632403,478669,5127222,154658,128570
K02000001,United Kingdom,overview,08/07/2021,606389,478113,5094998,154610,128523
K02000001,United Kingdom,overview,07/07/2021,624389,477507,5061648,154569,128485
K02000001,United Kingdom,overview,06/07/2021,624389,476939,5023834,154534,128457
K02000001,United Kingdom,overview,05/07/2021,600483,476365,4988472,154500,128425
K02000001,United Kingdom,overview,04/07/2021,600483,475848,4954276,154472,128397
K02000001,United Kingdom,overview,03/07/2021,600483,475383,4929604,154443,128369
K02000001,United Kingdom,overview,02/07/2021,594483,474992,4906037,154413,128341
K02000001,United Kingdom,overview,01/07/2021,599478,474602,4880257,154383,128314
K02000001,United Kingdom,overview,30/06/2021,589478,474231,4852141,154355,128293
K02000001,United Kingdom,overview,29/06/2021,581070,473816,4823811,154329,128272
K02000001,United Kingdom,overview,28/06/2021,576070,473449,4796215,154305,128249
K02000001,United Kingdom,overview,27/06/2021,598070,473139,4768465,154287,128237
K02000001,United Kingdom,overview,26/06/2021,596070,472872,4750335,154263,128217
K02000001,United Kingdom,overview,25/06/2021,596070,472605,4734362,154246,128200
K02000001,United Kingdom,overview,24/06/2021,584073,472350,4716579,154225,128180
K02000001,United Kingdom,overview,23/06/2021,574073,472094,4698278,154197,128159
K02000001,United Kingdom,overview,22/06/2021,574073,471817,4680369,154189,128152
K02000001,United Kingdom,overview,21/06/2021,574073,471579,4663363,154172,128139
K02000001,United Kingdom,overview,20/06/2021,579073,471351,4647404,154160,128123
K02000001,United Kingdom,overview,19/06/2021,579073,471145,4637530,154139,128100
K02000001,United Kingdom,overview,18/06/2021,579073,470933,4629275,154120,128078
K02000001,United Kingdom,overview,17/06/2021,579131,470697,4619220,154103,128065
